DateTime,Name,TotalMutants,ExecutionTime(ms),ExecutionTime,MutationScoreOriginal,MutationScoreReduced,ReducedSet,OriginalSetSize,ReducedSetSize
1 July;17h:35min:10sec,sample_ex,5,16ms,0m 0s 16ms,100.000,100.000,2 0 1,4,3
1 July;17h:35min:17sec,paper_test,7,15ms,0m 0s 15ms,100.000,100.000,4 0 2,7,3
1 July;17h:35min:24sec,test2,6,8ms,0m 0s 8ms,100.000,100.000,1 3 2,5,3
1 July;17h:35min:31sec,debug-new,1284,597ms,0m 0s 597ms,3.505,3.505,2,4,1
1 July;17h:35min:43sec,test2,6,8ms,0m 0s 8ms,100.000,100.000,1 3 2,5,3
1 July;17h:36min:26sec,test2,6,11ms,0m 0s 11ms,100.000,100.000,1 3 2,5,3
1 July;17h:36min:28sec,debug-new,1284,593ms,0m 0s 593ms,3.505,3.505,2,4,1
1 July;17h:36min:32sec,debug-new,1284,688ms,0m 0s 688ms,3.505,3.505,3,4,1
1 July;17h:37min:8sec,debug-new,1284,545ms,0m 0s 545ms,3.505,3.505,2,4,1
1 July;17h:37min:13sec,debug-new,1284,716ms,0m 0s 716ms,3.505,3.505,2,4,1
